android key,iOS key,android value,iOS value
delete_foodstuff_warning_message,CreateRecipe.deleteRecipeAlertBodyTemplate,Är du säker på att du vill radera %1$s,Är du säker på att du vill radera %1$@?
week_vs_month_food_logging,LoggingStatistics.average,Ditt genomsnitt,mitt genomsnitt
create_food_chooser_title,AFTSelectFoodViewController.whatDoYouWantToDo,Välj vad du vill göra,Välj vad du vill göra?
log_created_food,AFTSelectFoodViewController.logMyFoodstuff,Lägga till eget livsmedel,Lägg till eget livsmedel
log_created_recipe,AFTSelectFoodViewController.logMyRecipe,Lägga till eget recept,Lägg till eget recept
external_service_connection_on_message,AFTSettingsViewController.externalSourceAuthorizationConfirmation,Koppling till %1$s upprättad,Koppling till %1$@ upprättad!
external_service_sync_completed_with_zero_exercises_message,UIViewController.AFTConfirmation.externalSourceNoUpdatedItems,Det finns inga aktiviteter att hämta från %1$s just nu,Det finns inga aktiviteter att hämta från %1$@ just nu.
partial_goals_entry_point_title,ProfileViewController.allGoalsButton,Se alla delmål (%1$d),Se alla delmål (%1$@)
weight_plan_progress_percentage,ProgramSummaryViewController.programProgressTemplate,%1$d%% avklarad,%1$@%% avklarad
logbook_meal_recommended_kcal,LogbookViewController.recommendedKcalIntakeTemplate,Rekommenderat %1$d kcal,Rekommenderat %1$@ kcal
logbook_activity_recommended_time,LogbookViewController.recommendedMotionTemplate,Rekommenderat %1$d min,Rekommenderat %1$@ min
weekly_insights_see_more_food_stats_button_title,WeeklyInsights.seeMoreFoodAndDrinkStatistics,Se mer statistik över mat &amp; dryck i din profil,Se mer statistik över mat & dryck i din profil
logging_cal_and_activities_feedback_info,FoodFeedback.info,Ditt genomsnittliga dagliga kaloriintag under de senaste 4 veckorna är %1$d kcal. Var noga med att logga allt denna vecka för korrekt statistik.,Ditt genomsnittliga dagliga kaloriintag under de senaste %1$@ veckorna är %2$@ kcal. Var noga med att logga allt denna vecka för korrekt statistik.
logging_cal_and_activities_feedback_positive,FoodFeedback.negative,Du har loggat mat &amp; dryck i närheten av ditt rekommenderade dagliga kaloriintag %1$d av %2$d dagar den här veckan. Var noga med att logga allt för att få koll på vad du stoppar i dig.,Du har loggat mat & dryck i närheten av ditt rekommenderade dagliga kaloriintag %1$@ av %2$@ dagar den här veckan. Var noga med att logga allt för att få koll på vad du stoppar i dig.
logging_cal_and_activities_feedback_negative,FoodFeedback.positive,Du har loggat mat &amp; dryck i närheten av ditt rekommenderade dagliga kaloriintag %1$d av %2$d dagar den här veckan. Var försiktig så att du inte över- eller understiger din rekommenderade kalorinivå.,Du har loggat mat & dryck i närheten av ditt rekommenderade dagliga kaloriintag %1$@ av %2$@ dagar den här veckan. Var försiktig så att du inte över- eller understiger din rekommenderade kalorinivå.
recipe_details_mass,RecipeDetailsViewController.rawWeightTemplate,(%1$dg råvaruvikt),(%1$@g råvaruvikt)
partial_goals_plan_end_date_disclaimer,PartialGoalsViewController.endDateDisclamer,* Slutdatumet för ditt program är baserat på vår uppskattning av din viktnedgång. Slutdatumet uppdateras kontinuerligt baserat på din viktnedgång och kalorinivån på ditt program.,*Slutdatumet för ditt program är baserat på vår uppskattning av din viktnedgång. Slutdatumet uppdateras kontinuerligt baserat på din viktnedgång och kalorinivån på ditt program.
sp_pace_below_1kg_title,AFTStartProgramInfoData.influenceMorePaceLevelWarningTitle,Hur kan du påverka takten mer?,Hur kan du påverka takten mer? 
